a	b	ida	idb	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	F_diff_a_b	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
0	24	88	353	13343	0.981603	0.000177	0.007448	0.000000	0.000000	0.000000	0.010772	0.000000	0.000000	0.015615	0.010772	0.000000	0.009154	0.005386	0.000000	0.007448	0.000000	0.007448	0.018309	-0.000000	-19057.417012	114	-1	0.968850	4.377368e-01,1.702410e-01,1.762799e-02,1.669138e-01,1.301645e-01,1.646212e-02,2.196996e-02,3.211972e-02,6.764047e-03	0.304215	0.306028	0.078891	-21436.993655	10
0	25	88	354	13383	0.984004	0.000019	0.015939	0.000000	0.000000	0.000038	0.000000	0.000000	0.000000	0.015949	0.000039	0.000000	0.007974	0.000000	0.000000	0.015939	0.000000	0.015939	0.015968	0.000019	-19478.506523	98	-1	0.971754	4.418114e-01,1.593995e-01,2.462698e-02,1.668095e-01,1.223624e-01,2.349296e-02,2.923015e-02,2.362290e-02,8.644164e-03	0.440144	0.286441	0.023701	-21847.529298	10
0	26	88	355	13340	0.877664	0.097334	0.023130	0.000000	0.000000	0.000000	0.001871	0.000000	0.000000	0.073201	0.001871	0.000000	0.036834	0.000936	0.000000	0.023130	0.000000	0.023130	0.073669	0.000000	-19211.548552	138	-1	0.968632	4.474385e-01,1.633059e-01,1.432869e-02,1.600304e-01,1.325156e-01,2.060487e-02,2.357707e-02,3.024496e-02,7.954058e-03	0.286048	0.321568	0.088709	-21381.468089	10
0	27	88	356	12620	0.931340	0.046420	0.017847	0.000000	0.000000	0.000000	0.004391	0.000000	0.000001	0.044352	0.004392	0.000001	0.022725	0.002196	0.000001	0.017847	0.000001	0.017848	0.045450	0.000000	-17995.514485	174	-1	0.916352	4.481222e-01,1.648118e-01,1.414915e-02,1.646021e-01,1.297697e-01,1.751085e-02,2.353944e-02,3.095340e-02,6.541423e-03	0.290427	0.312272	0.085333	-20083.301449	10
0	28	88	401	13395	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000007	0.000033	0.000007	0.000004	0.000001	0.000001	0.000009	0.000001	0.000010	0.000026	0.000013	-19199.556656	70	-19199.562973	0.972626	4.526063e-01,1.482173e-01,2.474681e-02,1.826454e-01,1.096425e-01,2.085172e-02,3.100073e-02,2.396319e-02,6.326047e-03	0.508448	0.254140	-0.003114	-21526.161621	7
0	29	88	402	13369	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000053	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000027	0.000026	-19481.447053	86	-19481.452131	0.970738	4.314574e-01,1.737672e-01,2.021702e-02,1.767857e-01,1.137997e-01,2.233545e-02,3.012687e-02,2.550739e-02,6.003261e-03	0.442390	0.253598	0.020946	-21726.550214	10
0	30	88	428	13092	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000007	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000004	-19098.422489	90	-19098.423473	0.950624	4.076259e-01,2.006302e-01,1.626935e-02,1.745536e-01,1.270608e-01,1.278556e-02,3.011500e-02,2.752160e-02,3.438017e-03	0.365056	0.275098	0.051212	-21131.673181	10
0	31	88	506	13387	0.856775	0.000000	0.000000	0.141337	0.000000	0.000010	0.000000	0.001879	0.000000	0.000000	0.001889	0.143215	0.000000	0.000000	0.000000	0.001879	0.000000	0.001879	0.072552	-0.070663	-19726.965122	78	-1	0.972045	4.378386e-01,1.424505e-01,4.513356e-02,1.982650e-01,8.819082e-02,2.642049e-02,3.626870e-02,1.941579e-02,6.016496e-03	0.923024	0.188460	-0.132544	-22050.469703	10
0	32	88	852	13398	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000006	0.000054	0.000003	0.000005	0.000003	0.000003	0.000000	0.000003	0.000003	0.000031	0.000025	-20301.638134	127	-20301.649660	0.972843	4.082941e-01,1.913346e-01,2.481744e-02,1.725714e-01,1.190610e-01,2.228415e-02,2.674835e-02,2.893425e-02,5.954708e-03	0.433104	0.255118	0.024385	-22185.554169	10
0	33	88	969	13391	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000015	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000007	0.000007	-19673.992162	78	-19673.993984	0.972335	4.156861e-01,1.863754e-01,2.309085e-02,1.763922e-01,1.168926e-01,2.033897e-02,2.847559e-02,2.735790e-02,5.390327e-03	0.441144	0.252997	0.021358	-21963.361745	10
0	34	88	2135	12630	0.314923	0.650820	0.029089	0.000000	0.000000	0.000000	0.005168	0.000000	0.000000	0.358375	0.005168	0.000000	0.179834	0.002584	0.000000	0.029089	0.000000	0.029089	0.359667	-0.000000	-18338.934062	98	-1	0.917078	4.772842e-01,1.400937e-01,8.806966e-03,1.242718e-01,1.566882e-01,3.107721e-02,6.351065e-03,3.669250e-02,1.873444e-02	0.096740	0.451170	0.195771	-19845.371768	10
0	35	88	2757	12407	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000009	0.000054	0.000011	0.000006	0.000002	0.000002	0.000007	0.000002	0.000009	0.000040	0.000022	-18378.036717	86	-18378.044976	0.900886	4.297344e-01,1.681647e-01,2.817000e-02,1.701474e-01,1.189715e-01,2.349312e-02,2.836771e-02,2.613713e-02,6.813988e-03	0.475221	0.267664	0.009420	-20432.930891	10
0	36	88	3479	12845	0.813103	0.155535	0.019553	0.000000	0.000000	0.000000	0.011808	0.000000	0.000000	0.106177	0.011808	0.000000	0.054564	0.005904	0.000000	0.019553	0.000000	0.019553	0.109129	0.000000	-18457.293489	114	-1	0.932690	4.421345e-01,1.722436e-01,1.167029e-02,1.537758e-01,1.416415e-01,1.746072e-02,1.654570e-02,3.587959e-02,8.648260e-03	0.199207	0.347522	0.128590	-20466.179974	10
0	37	88	3722	13201	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000167	0.000000	0.000000	0.000084	0.000000	0.000000	0.000167	0.000000	0.000167	0.000168	0.000000	-19321.238884	106	-19321.244193	0.958539	4.157831e-01,1.900864e-01,1.864669e-02,1.696865e-01,1.298472e-01,1.518070e-02,2.775901e-02,2.717681e-02,5.833519e-03	0.357387	0.289491	0.055960	-21437.317003	10
0	38	88	3738	13408	0.655192	0.257188	0.080573	0.000000	0.000000	0.007046	0.000000	0.000000	0.000000	0.209167	0.007047	0.000001	0.104584	0.000000	0.000000	0.080573	0.000000	0.080573	0.212691	0.003523	-19186.765603	82	-1	0.973570	4.654886e-01,1.489823e-01,1.199372e-02,1.368687e-01,1.567885e-01,1.895063e-02,1.762222e-02,3.314923e-02,1.015604e-02	0.188891	0.426558	0.149735	-21126.239544	10
